user_id,frequency,recency,F_score,R_score,RFM_score
100,8,5,1,0,01
117,10,5,1,0,01
119,3,4,1,0,01
121,1,8,0,0,00
122,3,1,1,1,11
1035,1,5,0,0,00
1044,1,4,0,0,00
1072,3,0,1,1,11
1080,1,7,0,0,00
1083,3,0,1,1,11
1095,1,0,0,1,10
1098,1,1,0,1,10
1105,4,6,1,0,01
1114,4,1,1,1,11
1119,8,0,1,1,11
1120,3,5,1,0,01
1124,4,0,1,1,11
1131,4,1,1,1,11
1133,2,1,0,1,10
1143,1,2,0,1,10
1144,2,5,0,0,00
1146,1,4,0,0,00
1149,7,0,1,1,11
1156,10,0,1,1,11
1158,2,0,0,1,10
1159,1,8,0,0,00
1167,1,7,0,0,00
1169,1,4,0,0,00
1182,2,0,0,1,10
1189,2,0,0,1,10
1192,9,1,1,1,11
1203,1,7,0,0,00
1212,6,0,1,1,11
1234,12,6,1,0,01
1241,1,5,0,0,00
1242,1,5,0,0,00
1244,1,4,0,0,00
1246,2,3,0,0,00
1249,26,2,1,1,11
1253,2,2,0,1,10
1274,2,4,0,0,00
1275,1,7,0,0,00
1281,3,1,1,1,11
10008,3,1,1,1,11
10009,10,0,1,1,11
10020,1,6,0,0,00
10021,1,2,0,1,10
10024,6,1,1,1,11
10027,3,2,1,1,11
10034,4,0,1,1,11
10035,4,6,1,0,01
10044,2,5,0,0,00
10045,1,2,0,1,10
10049,1,0,0,1,10
10053,1,4,0,0,00
10057,5,1,1,1,11
10075,2,4,0,0,00
10078,1,1,0,1,10
10086,2,4,0,0,00
10092,1,5,0,0,00
10096,1,6,0,0,00
10111,2,5,0,0,00
10114,3,3,1,0,01
10128,1,8,0,0,00
10135,1,1,0,1,10
10139,1,4,0,0,00
10146,2,1,0,1,10
10150,1,1,0,1,10
10154,1,8,0,0,00
10156,1,1,0,1,10
10169,3,6,1,0,01
10170,7,2,1,1,11
10179,3,2,1,1,11
10199,2,3,0,0,00
10206,1,1,0,1,10
10218,3,0,1,1,11
10226,2,0,0,1,10
10230,3,1,1,1,11
10234,1,1,0,1,10
10236,7,4,1,0,01
10240,2,2,0,1,10
10246,1,1,0,1,10
10257,2,1,0,1,10
10263,3,4,1,0,01
10265,4,0,1,1,11
10267,6,0,1,1,11
10279,1,0,0,1,10
10290,4,0,1,1,11
10295,4,2,1,1,11
10296,2,0,0,1,10
10297,3,1,1,1,11
10299,3,1,1,1,11
10301,5,1,1,1,11
10306,1,7,0,0,00
10311,2,3,0,0,00
10315,1,6,0,0,00
10321,3,1,1,1,11
10330,1,3,0,0,00
10343,1,1,0,1,10
10363,6,2,1,1,11
10365,8,2,1,1,11
10368,1,0,0,1,10
10371,1,5,0,0,00
10386,2,4,0,0,00
10388,3,6,1,0,01
10395,5,0,1,1,11
10396,4,1,1,1,11
10404,4,1,1,1,11
10407,5,0,1,1,11
10422,1,7,0,0,00
10435,2,2,0,1,10
10449,4,0,1,1,11
10452,4,7,1,0,01
10458,2,1,0,1,10
10464,1,6,0,0,00
10465,2,1,0,1,10
10469,11,5,1,0,01
10476,6,0,1,1,11
10485,1,1,0,1,10
10487,2,4,0,0,00
10490,4,0,1,1,11
10502,5,1,1,1,11
10512,3,0,1,1,11
10514,1,4,0,0,00
10515,3,0,1,1,11
10517,1,2,0,1,10
10519,4,1,1,1,11
10524,1,5,0,0,00
10526,2,0,0,1,10
10527,1,0,0,1,10
10529,1,4,0,0,00
10542,1,1,0,1,10
10552,3,0,1,1,11
10571,1,1,0,1,10
10593,1,0,0,1,10
10608,6,0,1,1,11
10615,1,3,0,0,00
10618,4,1,1,1,11
10622,4,3,1,0,01
10628,2,0,0,1,10
10629,2,6,0,0,00
10630,2,3,0,0,00
10642,1,3,0,0,00
10645,1,1,0,1,10
10656,2,0,0,1,10
10667,1,3,0,0,00
10668,7,0,1,1,11
10669,2,5,0,0,00
10671,1,6,0,0,00
10676,1,5,0,0,00
10680,2,1,0,1,10
10681,12,7,1,0,01
10683,4,0,1,1,11
10686,1,6,0,0,00
10694,7,0,1,1,11
10695,1,1,0,1,10
10705,1,3,0,0,00
10727,1,6,0,0,00
10752,2,4,0,0,00
10755,1,7,0,0,00
10757,4,0,1,1,11
10769,3,2,1,1,11
10772,5,0,1,1,11
10776,7,0,1,1,11
10777,1,4,0,0,00
10779,3,0,1,1,11
10790,1,3,0,0,00
10802,4,1,1,1,11
10806,2,6,0,0,00
10808,3,0,1,1,11
10809,1,2,0,1,10
10810,2,2,0,1,10
10836,2,4,0,0,00
10843,1,3,0,0,00
10849,3,3,1,0,01
10851,2,1,0,1,10
10858,6,3,1,0,01
10871,4,2,1,1,11
10876,1,5,0,0,00
10877,10,4,1,0,01
10882,1,3,0,0,00
10888,3,5,1,0,01
10895,1,8,0,0,00
10899,14,0,1,1,11
10901,1,8,0,0,00
10905,2,1,0,1,10
10923,2,0,0,1,10
10926,6,2,1,1,11
10935,1,4,0,0,00
10960,3,3,1,0,01
10968,5,1,1,1,11
10969,2,1,0,1,10
10983,1,4,0,0,00
10984,5,0,1,1,11
10996,4,5,1,0,01
11016,4,3,1,0,01
11019,1,6,0,0,00
11045,6,1,1,1,11
11058,2,6,0,0,00
11079,4,0,1,1,11
11096,3,4,1,0,01
11097,3,5,1,0,01
11099,6,1,1,1,11
11126,1,0,0,1,10
11140,1,0,0,1,10
11141,9,1,1,1,11
